userId,movieId,tag,timestamp
1,1,2009 reissue in Stereoscopic 3-D,1306611568
1,1,3D,1173686898
2,1,3D,1273665163
3,1,3D,1385395898
1,1,55 movies every kid should see--Entertainment Weekly,1407082526
1,1,é˜®ä¸€é¸£,1143035853
1,1,action figure,1140447535
1,1,action figures,1140447535
1,1,adventure,1277357423
2,1,adventure,1137501822
3,1,adventure,1330111375
4,1,adventure,1301513212
5,1,adventure,1303168162
6,1,adventure,1154073120
7,1,adventure,1246932571
8,1,adventure,1247542237
9,1,adventure,1321563057
10,1,adventure,1349629673
1,1,almost favorite,1142363426
1,1,animated,1277357419
2,1,animated,1361761723
3,1,animated,1273665190
4,1,animated,1242992685
5,1,animated,1188331015
6,1,animated,1312088976
7,1,animated,1140391878
8,1,animated,1303168172
9,1,animated,1246932567
10,1,animated,1285014825
1,1,animation,1290312028
2,1,animation,1277357417
3,1,animation,1354154589
4,1,animation,1152258046
5,1,animation,1163101260
6,1,animation,1306969981
7,1,animation,1213364079
8,1,animation,1157998369
9,1,animation,1348648369
10,1,animation,1242279795
11,1,animation,1152405430
12,1,animation,1361761719
13,1,animation,1137316553
14,1,Animation,1155610344
15,1,animation,1306926135
1,1,avi,1137440588
1,1,BD-Video,1407082526
1,1,Best of Rotten Tomatoes: All Time,1290799014
1,1,bright,1173304070
1,1,buddy movie,1242992690
2,1,buddy movie,1303168179
3,1,buddy movie,1285014833
4,1,buddy movie,1271465930
1,1,buy,1137440588
1,1,Buzz Lightyear,1140447535
1,1,Cartoon,1174405495
2,1,Cartoon,1202263448
1,1,CG animation,1140447535
1,1,cgi,1137316553
2,1,cgi,1157113249
3,1,cgi,1188330757
4,1,CGI,1294130924
1,1,children,1358551250
2,1,children,1329851978
3,1,children,1257988285
4,1,children,1273665167
5,1,children,1378323572
6,1,children,1290750154
7,1,children,1312088964
8,1,children,1330111320
9,1,children,1301513206
10,1,children,1385395866
11,1,children,1339531972
12,1,children,1303168183
13,1,children,1154073120
14,1,children,1264024078
15,1,children,1284588869
1,1,classic,1330111356
2,1,classic,1137117317
3,1,classic,1294130924
4,1,classic,1303168187
5,1,classic,1246932573
6,1,classic,1190240465
7,1,classic,1241721410
1,1,clever,1277357438
2,1,clever,1144451329
3,1,clever,1303168193
4,1,clever,1264024107
5,1,clever,1285014854
1,1,CLV,1238343894
1,1,comedy,1277357433
2,1,comedy,1361761725
3,1,comedy,1400002031
4,1,comedy,1273665177
5,1,comedy,1320784716
6,1,comedy,1188331010
7,1,comedy,1312088984
8,1,comedy,1137501822
9,1,comedy,1303168198
10,1,comedy,1154073120
11,1,comedy,1241721417
12,1,comedy,1383552939
13,1,comedy,1321563062
1,1,computer animation,1183903155
2,1,computer animation,1277357405
3,1,computer animation,1274197762
4,1,computer animation,1243748512
5,1,computer animation,1329852012
